n=1000, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 23.82 seconds
n=1000, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 24.74 seconds
n=1000, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 26.00 seconds
n=1000, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 27.11 seconds
n=1000, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 28.28 seconds
n=1000, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 30.53 seconds
n=1000, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 36.34 seconds
n=1000, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 98.5%, Time: 55.63 seconds
n=1000, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 65.5%, Time: 105.04 seconds
n=1000, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 10.5%, Time: 156.96 seconds
n=1000, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 0.5%, Time: 168.62 seconds
n=1000, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 174.54 seconds
n=1000, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 180.46 seconds
n=1000, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 194.17 seconds
